id;keyword;context
Protocol_1905_03_31_02;urni;strassen herumschlich (heiterkeit) ulrichs spricht urningen bezugnehmend stelle platos gastmahl aphroditen
Protocol_1905_03_31_02;urni;auszeichnen angeblichen leidensgenossen ergriffen haelt urningsliebe berechtigt heterosexuelle verlangt – – aufhebung strafbestimmungen
Protocol_1905_03_31_02;urni;bedingt besondere anthropologisch verschiedene menschenklasse urninge nachgewiesen anerkennen – erklaert gelehrte –betrachten
Protocol_1905_03_31_02;urni;verlassen ulrichs verschwinden kaufen 25000 urningen – 25 000 1200 000 – nordpol
Protocol_1905_03_31_02;urni;strafrechtlich verfolgt lÂ«as tersnaea urninge sehnlicher aufhebung paragraf 175 gesetzgeber
Protocol_1905_03_31_02;urni;homosexualitaet psychologische erscheinung berlin 1904 kurnig der neonihilismus anti  militarismus sexualleben
Protocol_1905_03_31_02;urni;menschheit) leipzig 1901 nennen philosophie kurnigs gipfelt satze leben wille dasein
Protocol_1905_03_31_02;175;erklaert gelehrte –betrachten fortbestehen paragraf 175 unbedenklich geheime medizinalrat huepeden gerichtssaal
Protocol_1905_03_31_02;175;benutzte schriften krafftebing agitation paragraf 175 bildete beruehmte humanitaerwissenschaftliche komitee spitze
Protocol_1905_03_31_02;175;tersnaea urninge sehnlicher aufhebung paragraf 175 gesetzgeber leicht verstehen bedenkt paederastie
Protocol_1905_03_31_02;175;sexualis 1902 gaenzliche aufhebung paragraf 175 unheilvollsten folgen begleitet – schrenknotzing reformbeduerftigkeit
